iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
31,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
32,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
33,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
34,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
35,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
36,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
37,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
38,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
39,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
40,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
