iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
31,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
32,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
33,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
34,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
35,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
36,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
37,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
38,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
39,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
40,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
41,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
42,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
43,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
44,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
45,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
46,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
47,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2314137376081753,0.2635403393334128,0.2431137471769001,0.0749915263811997,0.2385123583173271,0.05120113717128683,0.0117000095687248,0.0070986207091517,0.0162631656711063,0.0128437849589464,0.0124216391920128,0.00604723811132,inf,inf,0.03324483109253137,0.01628997867803881,0.2314137376081753
